x,y,c
15,39,2
15,81,1
16,6,2
16,77,1
17,40,2
17,76,1
18,6,2
18,94,1
19,3,2
19,72,1
19,14,2
19,99,1
20,15,2
20,77,1
20,13,2
20,79,1
21,35,2
21,66,1
23,29,2
23,98,1
24,35,2
24,73,1
25,5,2
25,73,1
28,14,2
28,82,1
28,32,2
28,61,1
29,31,2
29,87,1
30,4,2
30,73,1
33,4,2
33,92,1
33,14,2
33,81,1
34,17,2
34,73,1
37,26,2
37,75,1
38,35,2
38,92,1
39,36,2
39,61,4
39,28,2
39,65,1
40,55,4
40,47,4
40,42,4
40,42,4
42,52,4
42,60,4
43,54,4
43,60,4
43,45,4
43,41,4
44,50,4
44,46,4
46,51,4
46,46,4
46,56,4
46,55,4
47,52,4
47,59,4
48,51,4
48,59,4
48,50,4
48,48,4
48,59,4
48,47,4
49,55,4
49,42,4
50,49,4
50,56,4
54,47,4
54,54,4
54,53,4
54,48,4
54,52,4
54,42,4
54,51,4
54,55,4
54,41,4
54,44,4
54,57,4
54,46,4
57,58,4
57,55,4
58,60,4
58,46,4
59,55,4
59,41,4
60,49,4
60,40,4
60,42,4
60,52,4
60,47,4
60,50,4
61,42,4
61,49,4
62,41,4
62,48,4
62,59,4
62,55,4
62,56,4
62,42,4
63,50,4
63,46,4
63,43,4
63,48,4
63,52,4
63,54,4
64,42,4
64,46,4
65,48,4
65,50,4
65,43,4
65,59,4
67,43,4
67,57,4
67,56,4
67,40,4
69,58,4
69,91,0
70,29,3
70,77,0
71,35,4
71,95,0
71,11,3
71,75,0
71,9,3
71,75,0
72,34,3
72,71,0
73,5,3
73,88,0
73,7,3
73,73,0
74,10,3
74,72,0
75,5,3
75,93,0
76,40,4
76,87,0
77,12,3
77,97,0
77,36,3
77,74,0
78,22,3
78,90,0
78,17,3
78,88,0
78,20,3
78,76,0
78,16,3
78,89,0
78,1,3
78,78,0
78,1,3
78,73,0
79,35,3
79,83,0
81,5,3
81,93,0
85,26,3
85,75,0
86,20,3
86,95,0
87,27,3
87,63,0
87,13,3
87,75,0
87,10,3
87,92,0
88,13,3
88,86,0
88,15,3
88,69,0
93,14,3
93,90,0
97,32,3
97,86,0
98,15,3
98,88,0
99,39,3
99,97,0
101,24,3
101,68,0
103,17,3
103,85,0
103,23,3
103,69,0
113,8,3
113,91,0
120,16,3
120,79,0
126,28,3
126,74,0
137,18,3
137,83,0
